week_start,days,total_steps,avg_steps,goal_days
2016-12-26,1,3999.0,3999.0,0
2017-01-02,7,31424.0,4489.142857142857,0
2017-01-09,7,23122.0,3303.1428571428573,0
2017-01-16,7,33090.0,4727.142857142857,0
2017-01-23,7,25276.0,3610.8571428571427,0
2017-01-30,7,29510.0,4215.714285714285,0
2017-02-06,7,16350.0,2335.714285714286,0
2017-02-13,7,27377.0,3911.0,0
2017-02-20,7,24760.0,3537.1428571428573,0
2017-02-27,7,16003.0,2286.1428571428573,0
2017-03-06,7,22406.0,3200.8571428571427,0
2017-03-13,7,23860.0,3408.5714285714284,0
2017-03-20,7,37799.0,5399.857142857143,0
2017-03-27,7,26098.0,3728.285714285714,0
2017-04-03,7,30106.0,4300.857142857143,1
2017-04-10,7,36260.0,5180.0,1
2017-04-17,7,22852.0,3264.5714285714284,0
2017-04-24,7,18164.0,2594.8571428571427,0
2017-05-01,7,12769.0,1824.142857142857,0
2017-05-08,7,27389.0,3912.714285714286,0
2017-05-15,7,73991.0,10570.142857142857,3
2017-05-22,7,22379.0,3197.0,0
2017-05-29,7,35692.0,5098.857142857143,0
2017-06-05,7,32987.0,4712.428571428572,0
2017-06-12,7,22202.0,3171.714285714286,0
2017-06-19,7,21449.0,3064.1428571428573,0
2017-06-26,7,9638.0,1376.857142857143,0
2017-07-03,7,12764.0,1823.4285714285713,0
2017-07-10,7,20307.0,2901.0,0
2017-07-17,7,39773.0,5681.857142857143,1
2017-07-24,7,27890.0,3984.285714285714,0
2017-07-31,7,27587.0,3941.0,0
2017-08-07,7,16661.0,2380.1428571428573,0
2017-08-14,7,28911.0,4130.142857142857,0
2017-08-21,7,17939.0,2562.714285714286,0
2017-08-28,7,31588.0,4512.571428571428,0
2017-09-04,7,32722.0,4674.571428571428,0
2017-09-11,7,30253.0,4321.857142857143,0
2017-09-18,7,29120.0,4160.0,0
2017-09-25,7,43544.0,6220.571428571428,1
2017-10-02,7,37448.0,5349.714285714285,0
2017-10-09,7,29031.0,4147.285714285715,0
2017-10-16,7,41617.0,5945.285714285715,1
2017-10-23,7,19465.0,2780.714285714286,0
2017-10-30,7,25573.0,3653.285714285714,0
2017-11-06,5,11836.0,2367.2,0
2017-11-13,1,0.0,0.0,0
2017-11-20,1,0.0,0.0,0
2017-12-04,4,0.0,0.0,0
2017-12-11,2,0.0,0.0,0
2017-12-18,3,0.0,0.0,0
2017-12-25,2,0.0,0.0,0
2018-01-01,4,0.0,0.0,0
2018-01-08,3,0.0,0.0,0
2018-01-15,3,0.0,0.0,0
2018-01-22,1,0.0,0.0,0
2018-01-29,2,0.0,0.0,0
2018-02-05,2,0.0,0.0,0
2018-02-12,1,0.0,0.0,0
2018-02-19,1,0.0,0.0,0
2018-02-26,2,0.0,0.0,0
2018-03-05,2,0.0,0.0,0
2018-03-12,1,0.0,0.0,0
2018-03-19,3,0.0,0.0,0
2018-04-02,2,0.0,0.0,0
2018-04-09,1,0.0,0.0,0
2018-04-16,1,0.0,0.0,0
2018-04-23,1,0.0,0.0,0
2018-04-30,1,0.0,0.0,0
2018-05-07,1,0.0,0.0,0
2018-05-14,2,0.0,0.0,0
2018-05-28,1,0.0,0.0,0
2018-06-04,3,0.0,0.0,0
2018-06-11,1,0.0,0.0,0
2018-06-18,4,0.0,0.0,0
2018-06-25,1,0.0,0.0,0
2018-07-02,1,0.0,0.0,0
2018-07-09,1,0.0,0.0,0
2018-07-16,1,0.0,0.0,0
2018-08-06,4,0.0,0.0,0
2018-08-13,1,0.0,0.0,0
2018-08-20,1,0.0,0.0,0
2018-08-27,2,0.0,0.0,0
2018-09-03,1,0.0,0.0,0
2018-09-10,1,0.0,0.0,0
2018-09-17,1,0.0,0.0,0
2018-09-24,1,0.0,0.0,0
2018-10-01,1,0.0,0.0,0
2018-10-08,1,0.0,0.0,0
2018-10-15,1,0.0,0.0,0
2018-10-29,1,0.0,0.0,0
2018-11-12,3,0.0,0.0,0
2018-11-19,1,0.0,0.0,0
2018-12-17,3,15500.0,5166.666666666667,1
2018-12-24,7,38410.0,5487.142857142857,1
2018-12-31,7,52002.0,7428.857142857143,1
2019-01-07,7,45377.0,6482.428571428572,0
2019-01-14,7,71199.0,10171.285714285714,4
2019-01-21,7,51822.0,7403.142857142857,1
2019-01-28,7,48154.0,6879.142857142857,1
2019-02-04,7,55980.0,7997.142857142857,2
2019-02-11,7,53742.0,7677.428571428572,2
2019-02-18,7,82670.0,11810.0,5
2019-02-25,7,59536.0,8505.142857142857,2
2019-03-04,7,53243.0,7606.142857142857,2
2019-03-11,7,57973.0,8281.857142857143,2
2019-03-18,7,41882.0,5983.142857142857,0
2019-03-25,7,91029.0,13004.142857142857,5
2019-04-01,7,72298.0,10328.285714285714,4
2019-04-08,7,81809.0,11687.0,5
2019-04-15,7,99902.0,14271.714285714286,5
2019-04-22,7,62288.0,8898.285714285714,2
2019-04-29,7,38769.0,5538.428571428572,0
2019-05-06,7,55831.0,7975.857142857143,1
2019-05-13,7,43540.0,6220.0,0
2019-05-20,7,48205.0,6886.428571428572,2
2019-05-27,7,44177.0,6311.0,1
2019-06-03,7,91434.0,13062.0,4
2019-06-10,7,39722.0,5674.571428571428,0
2019-06-17,7,63608.0,9086.857142857143,3
2019-06-24,7,44285.0,6326.428571428572,1
2019-07-01,7,48622.0,6946.0,1
2019-07-08,7,53294.0,7613.428571428572,2
2019-07-15,7,49094.0,7013.428571428572,2
2019-07-22,7,55545.0,7935.0,1
2019-07-29,7,75439.0,10777.0,3
2019-08-05,7,83078.0,11868.285714285714,5
2019-08-12,7,82852.0,11836.0,5
2019-08-19,7,83023.0,11860.42857142857,2
2019-08-26,7,40439.0,5777.0,0
2019-09-02,7,58462.0,8351.714285714286,2
2019-09-09,7,69751.0,9964.42857142857,3
2019-09-16,7,115865.0,16552.14285714286,6
2019-09-23,7,101134.0,14447.714285714286,5
2019-09-30,7,59648.0,8521.142857142857,2
2019-10-07,7,82908.0,11844.0,5
2019-10-14,7,53556.0,7650.857142857143,2
2019-10-21,7,87078.0,12439.714285714286,6
2019-10-28,7,58981.0,8425.857142857143,2
2019-11-04,7,64445.0,9206.42857142857,2
2019-11-11,7,62624.0,8946.285714285714,2
2019-11-18,7,44194.0,6313.428571428572,1
2019-11-25,7,33330.0,4761.428571428572,0
2019-12-02,7,59256.0,8465.142857142857,4
2019-12-09,7,73465.0,10495.0,4
2019-12-16,7,211059.0,30151.285714285714,6
2019-12-23,7,49329.0,7047.0,2
2019-12-30,7,62644.0,8949.142857142857,3
2020-01-06,7,60857.0,8693.857142857143,1
2020-01-13,7,40643.0,5806.142857142857,0
2020-01-20,7,29795.0,4256.428571428572,0
2020-01-27,7,16639.0,2377.0,0
2020-02-03,7,48209.0,6887.0,1
2020-02-10,7,46683.0,6669.0,1
2020-02-17,7,43738.0,6248.285714285715,1
2020-02-24,7,38998.0,5571.142857142857,0
2020-03-02,7,32269.0,4609.857142857143,1
2020-03-09,7,13397.0,1913.857142857143,0
2020-03-16,7,9092.0,1298.857142857143,0
2020-03-23,7,7487.0,1069.5714285714287,0
2020-03-30,7,13103.0,1871.857142857143,0
2020-04-06,7,7658.0,1094.0,0
2020-04-13,7,6943.0,991.8571428571429,0
2020-04-20,7,26755.0,3822.1428571428573,1
2020-04-27,7,12808.0,1829.7142857142858,0
2020-05-04,7,19756.0,2822.285714285714,0
2020-05-11,7,23518.0,3359.714285714286,1
2020-05-18,7,8058.0,1151.142857142857,0
2020-05-25,7,18810.0,2687.1428571428573,0
2020-06-01,7,48459.0,6922.714285714285,3
2020-06-08,7,24043.0,3434.714285714286,0
2020-06-15,7,25492.0,3641.714285714286,0
2020-06-22,7,30041.0,4291.571428571428,1
2020-06-29,7,37522.0,5360.285714285715,2
2020-07-06,7,18288.0,2612.5714285714284,0
2020-07-13,7,14143.0,2020.4285714285713,0
2020-07-20,7,6498.0,928.2857142857143,0
2020-07-27,6,6313.0,1052.1666666666667,0
2020-08-03,5,3549.0,709.8,0
2020-08-10,5,4602.0,920.4,0
2020-08-17,4,3186.0,796.5,0
2020-08-24,7,7074.0,1010.5714285714286,0
2020-08-31,6,2412.0,402.0,0
2020-09-07,7,9666.0,1380.857142857143,0
2020-09-14,7,16708.0,2386.8571428571427,0
2020-09-21,7,46339.0,6619.857142857143,1
2020-09-28,7,37569.0,5367.0,2
2020-10-05,7,28473.0,4067.5714285714284,1
2020-10-12,7,21811.0,3115.8571428571427,0
2020-10-19,7,29967.0,4281.0,1
